id,eng,jp
1,able,『be able to』で～することができる
2,abroad,"『海外へ(で)』,『外国に(で)』"
3,academy,"『学士院』,芸術院"
4,accept,"(喜んで)〈物〉'を'『受け取る』,〈事〉'を'受け入れる"
5,accident,"『偶然』,偶発,めぐり合わせ"
6,act,"『行い』,『行為』"
7,activity,"『活動』,働き,活力"
8,advantage,"(…に対する)『有利な立場』,利点,優位"
9,advice,"『忠告』,助言;(医者・弁護士などの)意見,指示"
10,Africa,『アフリカ』({略}Afr.)
11,against,"…『に対して』,に逆らって"
12,age,年齢
13,Alabama,アラバマ州
14,along,"『…をたどって』,…に沿って"
15,already,"《肯定文で》『もう』,『すでに』"
16,ambulance,救急車
17,among,"…『の間に』,に囲まれて"
18,anyone,誰か
19,anywhere,"《疑問文・条件節で》『どこかへ』(『に』),《否定文で》『どこへも』(『にも』)"
20,architect,"『建築家』,建築技師"
21,area,『面積』
22,arrest,"(…の罪で)…'を'『逮捕する』,検挙する"
23,artist,"『芸術家』;(特に)画家,彫刻家,音楽家"
24,Asia,『アジア』
25,"Association of Tennis
Professionals",テニス協会
26,atomic,『原子の』
27,atomic bomb,原子爆弾
28,Atomic Bomb Dome,原爆ドーム
29,attend,"…‘に'『出席する』,参列する,〈学校など〉‘に'通う"
30,attitude,"(人・物に対する)『姿勢』,身構え,感じ方"
31,bank,"『土手』,堤"
32,base,"《文》(人や人の行動・孝えが)『卑しい』,下劣な"
33,been,beの過去分飼形
34,began,beginの過去形
35,begin,"『始まる,開始する』"
36,begun,beginの過去分詞形
37,bicycle,(2輪の)『自転車』
38,boat,"『小型の船』,小舟,ボート"
39,bomb,『爆弾』;《the bomb》原子爆弾
40,bonjour,こんにちは(good morning)
41,border,"『ヘリ』,縁(ふち)端(はし);端に沿った部分"
42,Boris,ボリス
43,bottle,『びん』;1びんの量
44,box,『箱』
45,Brazil,ブラジル(南米の共和国…儒都はBrasilia)
46,Brazilian,ブラジルの
47,building,"『建物』,ビルディング;(一般に)建造物"
48,business,"(生計のための)『職業』,商売;任務,仕事"
49,calligraphy,"能筆,能書"
50,calm,"『穏やかな』,静かな;(天候などが)穏やかな"
51,Carnival,"『祭』,カーニバル"
52,carpenter,『大工』(だいく)
53,carport,カーボート(差し掛け屋根の車庫)
54,castle,"『城』,とりで"
55,ceiling,『天井』
56,challenge,"『挑戦』,試合の申し込み;挑戦状"
57,champion,(競技の)『優勝者』;最優秀賞をとった人(動物)
58,championship,優勝者の地位(名誉)
59,character,"(人の)『性格』,人格"
60,cheer,"『歓呼』,かっさい"
61,cheerfully,元気に
62,chimney,『煙突』
63,Chinese,『中国の』;中国ふうの
64,Claude Monet,クロード・モネ
65,clearly,"『はっきりと』,明白に"
66,coach,(箱形・屋根付き)『大型四輪馬車』
67,collect,"(趣味として)…'を'『集』,収集する"
68,communication,"『伝達』,通報,報道"
69,compare,"〈二つのもの〉'を'『比較する』,比べる"
70,conference,"『会議』,協議会"
71,connect,"『連結する』,結びつける"
72,connection,コネクション、つながり
73,contact,"(体・物などの)(…との)『接触』,(…と)触れること"
74,content,"《複数形で》(容器などにはいっている)『中身』,内容物"
75,costume,"(ある時代・国民・地方などの特殊な)『服装』,身なり"
76,courage,"『勇気』,度胸"
77,court,(またcourtyard(建物や壁に囲まれた)『中庭』;中庭式の区画
78,crane,ツル(鶴)
79,creativity,独創性
80,Crown News,クラウンニュース
81,custom,"(社会の)『習慣』,『風習』,慣例"
82,daily,"『毎日の』,日々の"
83,dark,『暗い』やみの
84,David Jones,デイビッドジョーンズ
85,death,"『死』,死亡;死に方,死にざま"
86,decade,『10年間』
87,depend,"〈人が〉『頼る』,依存する,当てにする"
88,depressed,"元気のない,憂うつな"
89,design,"{C}(形式・構造などの)略図,見取り図,設計図"
90,designer,"『設計者』,デザイナー"
91,destroy,"…‘を'『破壊する』,打ち壊す"
92,difficulty,"『難しさ』,困難"
93,disappear,"『見えなくなる』,消える,姿を消す,消滅する"
94,dome,"(半球形の)『丸屋根』,丸天井,ドーム"
95,done,doの過去分詞
96,Dr. (Dr),ドクター、医者、博士
97,DRAGON BALL,ドラゴンボール
98,drank,"drinkの過去,《時に米》過去分詞"
99,drinking fountain,水飲み場
100,driver,"(動物を)追う人,牛追い,馬方"
101,drop,"〈しずくが〉『したたる』,垂れる《+『down』》"
102,drunk,drinkの過去分詞
103,Dubai,ドバイ（地名）
104,dying,dieの現在分詞
105,early,"(時間・時期が)『早い』,『初期の』"
106,eaten,eatの過去分詞
107,effort,"『努力』,骨折り"
108,electricity,『電気』;電流
109,elementary,"『初歩の』,基礎の"
110,elementary school,小学校
111,embarrassed,恥ずかしい
112,encourage,"〈人〉‘を'『勇気づける』,励ます"
113,engineering,『工学』
114,England,『イングランド』
115,enter,"…‘に'『入る』,入り込む"
116,especially,"『特に』,特別に;きわだって"
117,ever,"《疑問文・否定文,また比較級・最上級の文で》『かつて』,今まで"
118,experience,"(…の)『経験』,体験"
119,expert,"(…の)『専門家』,『熟練者』"
120,express,"(言葉で)〈思想・感情など〉‘を'『表現する』,言い表す,述べる"
121,fan,『うちわ』扇
122,fan,『うちわ』扇
123,fascinate,"…‘を'魅惑する,魅了する,うっとりさせる"
124,fashion,"(…の)『流行』,はやり"
125,felt,feelの過去・過去分詞
126,fighting spirit,闘争心
127,fill,"〈容器など〉‘を'『いっぱいにする』,満たす,‘に'つぐ"
128,finally,『最後に』(at the end)
129,finish,"…『終える』,済ます"
130,fireplace,(壁に取付けた)『暖炉』
131,float,"(液体・気体に)『浮く』,浮かぶ"
132,Florida,フロリダ州
133,foreign,『外国の』;外国からの;外国との
134,fought,fightの過去・過去分詞
135,found,findの過去・過去分詞
136,France,『フランス』(ヨーロッパの共和国;首都はParis)
137,French,『フランスの』
138,friendship,"友情,親交"
139,gate,"(…への)『門』,通用門"
140,gather,"〈人・物〉‘を'『集める』,集合させる"
141,George Lucus,ジョージ・ルーカス
142,German,『ドイツの』;『ドイツ人の』;ドイツ語の
143,Germany,『ドイツ』(第二次世界大戦後1949年東西両ドイツに分割された)
144,grade,『学年』(小学校から12年まで通算する)
145,graduate,(…を)『卒業する』
146,grew,growの過去形
147,habit,くせ、習慣
148,hardship,"『辛苦』,苦難,難儀"
149,hate,"…‘を'『憎む』,『ひどくきらう』"
150,headache,『頭痛』
151,heard,hearの過去・過去分詞
152,hero,"『英雄』,勇士,ヒーロー"
153,high school,『ハイスクール』
154,highlight,"(絵画・写真などの)最も明るい部分,ハイライト"
155,himself,《強意用法》
156,homeland,"故国,自国"
157,homesick,"ホームショクの,自分の家(国)をなつかしがる"
158,honesty,"『正直』,実直,誠実"
159,host,ホスト（受け入れる人）
160,hug,‘を'『抱き締める』;(両腕・ひざなどで)…‘を'ぎゅっと締めつける
161,humor,ユーモア
162,importance,"『重要性』,重大さ"
163,impossible,"『不可能な』,できない"
164,impress,"(…で)…‘を'『感銘させる』,‘に'印象づける"
165,improve,"…‘を'『もっとよくする』,改良する,改善する"
166,influence,"『影響』,感化,効力"
167,injure,"…‘を'『傷つける』,‘に'損害を与える"
168,instead,"『その代りとして』,それよりも"
169,intense,"(感情・性質などが)『激しい』,強烈な,熱心な"
170,interest,"(人・物事に対する)『興味』,『関心』"
171,international,"『国際的な』,国家間の,万国の"
172,interview,"インタビュー,面接,面会"
173,interviewer,"面接する人,会見者;訪問記者"
174,Japanese-Brazilian,日系ブラジル人
175,joke,"『冗談』,『笑い話』"
176,judge,"『裁判官』,判事"
177,juice,ジュース;(植物の)樹液
178,justice,"『正義』,正しさ;『公平』,公正"
179,Kenya,ケニア
180,kill,"〈人・動物〉‘を'『殺す』,死亡させる"
181,knit,〈織物・服など〉‘を'『編む』
182,Korea,『韓国』
183,Korean,"韓国の、韓国人(の),韓国人,朝鮮人;朝鮮語"
184,lake,『湖』
185,lamp,"(電気・ガス・石油などの)『ランプ』,灯火,明かり"
186,last,『最後の』;(行為・でき事について)最後の
187,laugh,(声を立てて)〈人が〉『笑う』
188,laughter,"『笑い』,笑い声"
189,law,『法』
190,lawyer,『弁護士』;法律学者
191,lead,"‘を'『導く』,案内する"
192,led,leadの過拒・過去分詞
193,left,去った、過ぎた
194,leopard,ヒョウ
195,lie,"『うそをつく』『横たわる』,横になる"
196,Lincoln Memorial,リンカーン記念
197,lion,"『ライオン』,しし"
198,lost,loseの過去・渦去分詞
199,lucky,"『幸運の』,運のよい"
200,lucky break,けがの功名
201,lying,lieの現在分詞
202,Malawi,マラウィ(アフリカ南東部にある共和国)
203,manage,"…‘を'『管理する』,運営する;…‘を'処理する"
204,manner,"『マナー』『作法』,仕方"
205,Maria,マリア（人名）
206,marry,"…‘と'『結婚する』,‘を夫(妻)にする"
207,Martin Luther King，Jr.,マーティン・ルーサー・キング（人名）
208,match,(1本の)『まっち』 『合致する』
209,maybe,"『たぶん』,おそらく,ことによると"
210,meant,meanの過去・過去分詞
211,medicine,"『医学』,医術;医[師]業"
212,memorial,"『記念の』,追悼の"
213,men,manの複数形
214,million,『100万』
215,mind,"『心』,精神"
216,miss,未婚婦人;《複数形で》少女(girl)
217,mistake,"『誤り』,『間違い』;誤解,思い違い"
218,model,『モデル』『模型』
219,money,"『金』(かね),金銭;通貨"
220,Mongolia,蒙古・モンゴリア(モンゴル人民共和国を含む東中央アジア地域)
221,Montgomery,モントゴメリー(米国Alabama州の州都)
222,motto,"『モットー』,教え(戒め)とする言葉,座右の銘"
223,movement,"(…の)『運動』,『動き』;移動"
224,myself,『私自身』
225,nation,《集合的に》『国民』(people)
226,national,『国民の』;『国家の』
227,necessary,"(物事が)『必要な』,なくてはならない"
228,Newcomer of the Year,今年の新人
229,Nobel Peace Prize,ノーベル平和賞
230,note,"《複数形で》『覚え書き』,控え,メモ"
231,nurse,"『看護人』,看護婦"
232,nurse's office,看護室
233,oil,『油』;油状物
234,Olympics,オリンピック
